conversation,class
네 뭐 드릴까요 ... 말 보르 레드 한가지 . 네 . 알리 요 ! 여기 부사장 은 없 어 ... 네 사장 님 현재 안 계세요 . ... . 찾 으세요 ... 지금 부터 내 말로 잘 들 어 는데 여기 주머니 에 없 는 돈 다 좇 아 . 네 ... ? 왜 이러 ㅂ시오 ! ! 입 닥쳐 . 빨리 사람 놀드 기 전 에 현상금 이나 쓸 어 좇 어 . . 살려 만 주 세요 그럼 제대로 안 하 ㄴ다면 패 버릴 거 길래 빨리빨리 해라 . 카나 . 여기 요 는데 진작 이렇게 빨리 쪼 것 이 지 는데 경찰 신고 하 ㄴ다면 알 지 ?,갈취 대화
이 대리 오늘 그럼 뭘 한 거 야가 ? 창고 정리 때문 하 고 바닥 때문 청소 했 습니다 이게 한 거 니 ... 네 열심히 했 네요 왜 이건 복사 못가 해놨 니 ? 말자 하 라고 안 시키 셨 는데요 내 놀드 ? 아까 말 했 는데 너 가 못하 들 었 어 절구 이 니 ? 아닙니다 . 지금 당장 시키 겠 습니다 물 때문 새로 받 아 와도 이걸 먹 으라고 한두 거 니 ? 의아 합니다,직장 내 괴롭힘 대화
네네 무슨 일 일쑤 에 전화 주 셨 나요 ? 우리 사우스캐롤라이 가 지우개 하나 훔친 거 가지 고 사우스캐롤라이 들 앞 에서 면박 줬 니 ? 이런 게 아니 고 외종 내 따님 분 그러 한 두 번 훔친 것 도 아니 기에 여러 번 훔친 도록 확인 되 어서 경찰관 부르 는 건 워낙 심할 거 같 아 꾸중 한 마디 한두 겁니다 . 아니 그녀 구멍가게 물건 이 며칠 한다고 그러 냐고 내고 애 가 맨날 훔친 거 확실 해 ... 네 본 애 부유층 도 있 고 분명 합니다 됐 고 내고 애 울 면서 시키 교 했 어 저번 일 각오 하 ㄴ다는 게 좋 을 것 야 너 도 사우스캐롤라이 있 다며 ? 저 애 까지 끌어들이 꼼짝 마세요 내 애 때문 울 면서 들어왔 으며 그냥 못 넘어가 토비 애 죽여 버릴 것 야 이러 지 마세요 저 도 곤란 합니다 . 단지 교육 시공간 에서 한 마디 했 을 뿐 이 라고요 됐 고 아 불쌍히 네 애 보이 카나 죽여 버릴 테 길래 니 아들 죽 은데 거 보 고 그전 반성 해 남 사우스캐롤라이 함부로 울리 면 언제 되 는지,협박 대화
형 ! 형 캐치 돈 좀 있 어서 ? 저 저 오자키 . ? 여기 형의 말 고 누가 없 어 ? 형 며칠 있 어 ? 제 . 저 . 현상금 없 어요 . 그럼 . 제 가 과연 형 이 에요 ... 에이 잘 생겼 더군요 형 이 지 는데 형 돈 좀 만이 주 면 안 때릴 게 좀 만 줘 봐 . 돈 수많 게 생겼 네 제 진짜 현금 없 는데요 . 진짜 요 는데 놔 주 세요 는데 에이 지갑 주머니 이에 있 네 ! 내고 가 지갑 뒤져봐도 돼 ? 뒤져서 나오 ㄴ다면 어떻게 하 려고 ... 그냥 줘 저 진짜로 없 어요 . 의아 해요 . 나 가짜 지갑 연다 ? 내고 가 말 로 만이 이러 니까 우스워 ... 지갑 에 도 현상금 없 어요 죄송 해요 .,갈취 대화
김 사원 대리 귀하 왜 그러 세요 ... 이거 오늘 까지 송부 해야 하 는데 조금 해줄래 ? 네 ... 저 도 해야 때때 일 이 많 은데요 . 아니 좀 도의 달 라잖아 그것 때문 못 해 줘 ... 저 도 도와 티코 고 싶 은데 때때 일 이 많 은데요 . 너 랑 나의 랑 얼굴 맞대 기에 일 해야 하 으며 감당 할 수 없 겠 어 ? 카나 ? 감당 할 가능성 있 으면 하 꼼짝 말 든가 아닙니다 저 가 하 겠 네요 .,직장 내 괴롭힘 대화
야 너 휴대폰 조금 빌려줘 봐 안 돼 . 지난달 에 때문 휴대폰 요금 이 워낙 많이 나와서 엄마 에게 혼났 어 . 울 바 야 ? 다가오 고 폰 이나 내놔 폰 주 면 각기 결제 하 려고 이러 지 ? 응 액션 캐시 다 떨어져서 적재 좀 안 돼 가짜 . 맞 고 줄래 그냥 줄래 ? 가짜 한 번 만 던 결제 한 거 들켰 다가 는 휴대폰 뺏길 지도 몰라 아 정씨 오늘 따라 왜 그렇게 말 이 많 아서 당장 안 내놔 ... 제발 .,갈취 대화
잠깐 만 거기 대학생 예 ? 저 불리 셨 너 요 ... 그럼 누구 겠 어서 왜 부르 시 지요 내 가 지갑 를 잃어버려서 돈 이 없었 다 돈 좀 없 녀 아니요 현금 없었 어요 주머니 에 없 는 거 열 어서 봐 이건 안 이루어지 요 그건 내 놀드 판단 해 내놔 봐 이건 제 돈 어떠하 에요 이리 안 줘 ? 좀 맞 을래 ? 그건 정말 저 돈 아니 에요,갈취 대화
얼마 가져왔 어 ... 십 만 원 만큼 . 야 이걸로 감미 폰 을 어떻게 타 이게 최선 이 였 어 . 그럼 노력 을 다 해 들어맞 자 너 제발 찌르 지만 마 ! 도대체 내일 까지 3 배가 로 만들 어 와도 그걸 어떻게 . 아서 그건 네 가 판단 해야지 말 도 못가 돼 .,갈취 대화
야 너 이마빡 이에 빛 이 난다 어서 ? 야 한 회 만 때려 보 자마자 퍽 아 흑 과연 그래 아팠 어 ... 빛 이 나 그럼 두드려 봤 다 그냥 있 어 봐 퍽퍽 야 두드리 니깐 개최 겠 는데 ? 반사 이 나 다 개최 나 ? 뭔 울음소리 야 저리 치워 에드 서운 하 게 과연 그러 냐 친구 간의 에 퍽퍽퍽 야 에드 미쳤 어 ? 야가 광 이 난다 이마빡 참 예뻐 흑흑흑,기타 괴롭힘 대화
나 씨 정수기 물탱크 좀 갈아주 시 싶 어요 ? 싫 네요 . 물 저 만이 마시 는 것 때문 아닌데 매번 저 만이 하 잖아요 . 나의 씨 가 저희 책임자 유일 한 남자 종업원 이 잖아요 . 어쨌거나 요 저 일 꾼들 아니 고 직원 입니다 . 그래서 못 해의 주 겠 다는 건가요 ? 그런 게 어떠하 고 매번 저 만이 물탱크 갈고 짐 그르 는데 부당 하 다고 겁니다 . 나 정씨 가 남자 직원 그러 니까 힘 도 가장 세 고 먹 ㄴ다는 양 도 저희 여직 원 보다 더 수많 을 거 아니 ㄴ가요 ? 저 정수기 전혀 안 씁니다 . 바닷물 싸 가지 고 다녀요 . 하 그러 기에 도 이 팀 오세아니아 잘 어울릴 수 없 을까요 ? 왕따 꾀하 겠 다는 거 ㄴ가요 ?,직장 내 괴롭힘 대화
너 가 민수 란 남자 제자 니 ... 네 맞 는데요 과연 그러 시 죠 ... 혹시 저희 선생 귀하 께 무슨 일 생겼 나요 ? 무슨 월과 은 그냥 선생 귀하 콩팥 하나 정도 꺼내 려고 네 . ... 장난치 시 지 마세요 . 장난 이 워낙 심하 신 거 어떠하 신가요 ? 아 어린애 라 그런지 상황 생각 못 하 네 동영상 보내 줄 테 토비 봐 봐 장난 판별 아닌지 어 . ... 왜 그러 시 ㄴ다는 건가요 신 고 때때 거 예요 당장 통지 할 거 예요 는데 신고 해 보 때리 어딘지 는 알 기에 신고 하 게 ... 저 한테 원 시키 시 는 거 없 으시 면 최대한 할게요 선생 님 해치 꼼짝 말 아 주 ㅂ시오 그럼 내 가 말로 하 는 거 가져다 주 기 만 해의 그러 면 그냥 간결 하 게 끝 첫날 일 이 야 엄청 하 도록 할게요 만일 할게요,협박 대화
너 저번 에 연인 지갑 에서 돈 훔쳤 잖아 . 그 말로 을 왜 지금 가져가 . 야 다 불이 어 버리 기 직전 에 얼마 나 에게 줘 봐 . 내고 가 왜 줘야 이루어지 는데 ? 다 불이 어 버릴 거 라니까 ? 니 가 가져간 돈 주인 이랑 모두 사람 들 에게 ... 얼마 면 되 으며 ? 10 만 원의 만 줘라 . 야가 지금 10 만 원의 없 어 . 진희 불 어 버릴까 살펴보 다 ? 내일 까 줄게 .,갈취 대화
어유 파리 꼬여 언제 서 계란 썩 ㄴ다는 냄새 가 나 뇰 설마 사람 한태 나의 는 냄새 는 아닐 테 고 너 ... 라 했 냐 얼래 저 새끼 깝치네 야가 야 냅둬 라 자신 가 뜨끔 해서 이런 거 겠 지 에드 도 싸우 고 겠 냐 ? 우 쭈쭈 욕먹 어서 화났 는데요 ? 왜 나 에게 지랄 이 야 그러 새끼 들 아 토비 가 존나 맘 이에 안 드 니까,기타 괴롭힘 대화
나 좀 제발 금방 따라다녀 . 부탁 그러 야 너 만나 ㄴ다면 널 찾아가 야 될 거 아냐 우리 헤어졌 자 나 . 우중문 스토킹 이 야 난이 아직 안 헤어졌 어서 . 너 가 쌍방 적 으로 말 한두 거 지 제발 나의 좀 놔주 면 못가 돼 ? 내 놀드 언제 괴롭혔 다고 그래 . 다 널 슬픔 해서 그런 거 꼼짝 우리 집 비밀 일련번호 를 또 어떻게 울 았 어 너 돌아가 는 거 봤 꼼짝 . 남자 친구 놀드 그 정도 도 못하 보 냐 ? 에드 네 집 에 다르 남자 숨겨뒀 나 살펴보 지 ? 제발 금방 좀 해 . 어떠하 라고 . 너 인의 그 정신병 적 인은 의심병 때문 에 헤어진 거 야 뭐 ... 정신병 ? 이 녀 이 말다 했 뇰 ? 어디 다리 한가지 부러뜨려 놔야 바람 를 못 피 지 는데 일 로와,협박 대화
야 . 거 꼼짝 ! 너 네 곁 저기 판자촌 이 라며 ? . 판자촌 그러 뭐 야 ? 과연 저 위 에 으며 쓰러져 가 는 곁 들 있 잖아 는데 거기 귀신 의 곁 같이 다 허물어진 데는 ? 새끼 . 괴물 의 집 은 사라지 진 않 잖아 는데 쟤 네 집 은데 천장 에 구멍 때문 뚫려 있 을걸 는데 추워서 집 에서 헝겊 둘 둘 말 기에 있 을 텐데 는데 용케 얼 어 사망 진 않 았 카나 . 날 도 추운데 걱정 은 못 해줄망정 그게 무슨 망발 그러 냐 ? 거지 연인 야 내 가 보드 팩 하 나 줄까 ? 추운데 이런 것 라도 있 으면 좋 지 않 겠 어서 ? 크 큭 는데 와 배려 심 봐라 . 쩔 어 는데 나 도 쓰 더 거 있 으니까 아침 때 까지 는 쓰의 수 있 겠 으며 . 내 가 어제 도 쓰 던 것 줄 테 니까 반드시 가져가 . 쟤 주기도 고 나 면 나의 손 시려워 서 언제 하 냐 ? 암컷 꼴 에 자존심 은데 있 는지 얼굴 빨개지 네 ? 그래 봤 자 넌 거지새끼 못하 면해 .,기타 괴롭힘 대화
여보 생활비 좀 주기도 세요 아니 이놈 인의 마누라 는 허구 한두 날 입 만 잠그 면 돈타령 이 야가 애 들 학원 빌 며 . 괜히 사우스캐롤라이 들 핑계 대 꼼짝 마 ! 제 놀드 입 고 쓰 ㄴ다는 건 없 어요 는데 거짓말 마 아주 뱃살 이 출렁출렁 여보 는데 그러 지 말 기에 생활비 좀 주 ㅂ시오 못 줘 ! 뱃살 쳐지 는 거 던 이상 보 기 힘들 어서라도 못 줘 정말로 제 가 먹 기에 쓰 는 건 없었 어요 . 믿 어서 주 세요 . 졀 가 이 여편네 야가 정 떨어져,기타 괴롭힘 대화
조용히 살 라고 했 는데 이 새끼 놀드 깔짝깔짝 건드 네 ... 그러 지 마 는데 그건 정말 너 카나 가 잘못 한 것 잖 아 야 내고 가 잘못 했어도 그걸 니 가 뭔데 말로 해 ? 뭔데 통지 하 네 마 네야 나쁜 일 이 길래 . 니 가 경찰관 이 야 ? 어서 ? 경찰 도 아닌 새끼 가 남 인의 일 에 오지랖 은데 . 그래도 그건 어떠하 야 아 이 외골수 새끼 입술 부르트 게끔 쳐 맞 아도 여전히 정신 못 차렸 카나 아 뇌 는 여전히 터지 도록 안 들어맞 아서 그러 냐 ... 제발 . 여기 불쌍히 멈춰 주 면 나의 도 조용히 할 도록 야 니 가 여생 하 는 건 한가지 도 안 중요 시키 고 이빨 꽉 문지르 어라 안 그러 ㄴ다면 이 나간다 새끼야 그럼 그만 해 .,협박 대화
돈 을 빌려 갔으면 갚 아야지 죄송 합니다 시간 을 조금 만이 더 주십시오 내 놀드 왜 ? 내 놀드 자선 사업가 야 ... 나 는 엄연 한두 사업가 야 알 기에 있 습니다 부탁 드릴게요 뭐 보 니까 남의 은 것 도 그때 얼마 없 는 방법 같 은데 말 그러 야 진짜 빈 털털이 입니다 한 번 만이 봐 주 세요 그래도 저 자동차 한대 없 네 ? 저거 조차 없 어요 정말 는데 그럼 저거 라도 줘야지 남 의 돈 빌려 가 놓 고 쉽 게 차 타 기에 다닐라 했 어 ... 걸 어 다녀야지 이러 면서 몸 을 떼우 고 갚 아야지 그러나 이자 도 너무 저렴 고 . 그럼 아쉬울 때 는 빌려 올려놓 고 이제 와서 그때 타령 하 는 것 야 ? 웃기 꼼짝 마 저거 는 내고 가 가져간다,갈취 대화
이리로 와 넌 토막내 서 죽여줄 게 살려 주 세요 싫 어서 난 너 의 의류 이랑 놀 시간 보네 고 싶 어서 이러 는 거 야 그럼 그만 그리고 너 인의 몸 장난감 을 매우 잘 갖 고 살 아야지 이 칼 로서 왜 그렇게 까 꼼짝 . 칼 로 쑤시 는 맛 이 없 거든 살려 주 ㅂ시오 살 아 있 ㄴ다는 애 는 재미 없었 어 야이 새끼야 경찰관 이 다 . 그런 미친 싸이코 같 은데 놈 그 총 붙잡 기 만 해 봐 목 를 썰 어서 주 겠 어,협박 대화
병신 이 아이스크림 씹 게 돼 있 뇰 ? 난 먹 다면 안 돼 ? 금방 좀 해 . 반드시 안 되 지 에드 공부 개 못 시키 는 찐따 잖 아서 . 야 닭대가리 놀드 말 도 하 카나 동물농장 나가 자 는데 너 네 학교 폭력적 으로 신고 하 적기 전 에 그만 해의 . 아이고 무서 워라 살려 주 세요 때때 헝 헝 제발 조금 저리 가 . 나의 였으면 아이스크림 먹 를 시간 에 공부 소리치 . 멈춰 ! 아무래도 니까 쳐 맞 기에 다니 지,기타 괴롭힘 대화
와 한창 분위기 괜찮 을 때 방해 영광송 죄송 합니다 누 는데 누구 야 ? 그러 새끼 갑자기 쉬쉬 부사장 님 흥분 하 꼼짝 마시 구요 제 놀드 이 여자 오빠 이루어지 는 사람 입니다 그러므로 안타깝 게 도 .... 가 아직 18 살아오 이 안 됐 꼼짝 뭐 예요 뭐 ... 그 . 그게 어때서 ? 우리 사 는데 사랑 하 는 간의 야 푸하하하 이분 재밌 으신 분 이 시가 네 저 . 불쌍히 내 가 한 번의 실수 한 것 똑같 으니 용서 해 주기도 게 용서 라 ... 까짓것 용서 해 티코 죠 다만 제게 뭔가 필요 한 게 없 어서요 사모님 번호 놀드 뭐 였 더라 현상금 이 필요 하 으므로 내 지분 을 나르 아서라도 줌 세 그럼 그 사장 님 점유 의 은행 있 ㄴ다는 건물 기억나 시 지요 ? 자네 가 그걸 어떻게 ?,갈취 대화
니 가 나 뭐 한다는 애 구나 ... 내 가 ? 나의 너 안 따라 해의 . 머 라는 것 야 . 여기 동영상 다 있 거든 는데 너 내 가 누군지 모르 지 ? 에드 한번 찍혀야 정신 훔치 냐 ? 아니야 나의 . 나 진짜 어떠하 야 . 이거 나의 아니 야 . 사우스캐롤라이 머 래니 ? 작작 좀 나 대 는데 진짜로 나 진짜 아니야 나 이런 대 놀드 보 지 도 못하 았 어 . 야가 니 가 내 썸남 한테 꼬리 쳤 다면서 거짓말 하 지 마가 내 가 다 퍼뜨리 고 이러 는 것 거든 ? 진짜 나의 아니 야 . 나의 랑 닮 은 앤가 봐 . 야 가람 입 좀 어떻 도록 하 자 . 사우스캐롤라이 들 아 제발 그러 지 말 아 줘 . 선생 님 에게 말 할 거 야가 .,기타 괴롭힘 대화
자꾸 이런 식 으로서 내 연락 무시 시키 면 나 도 가만 있 지 않 를 거 야 어떻게 때때 건데 ? 당장 카나 집 에 가 불쌍히 다 말 할 것 야 정말 그러 적기 야 ? 제발 그때 그만 해 네 놀드 자꾸 연락 무시 시키 고 해결책 을 늘어놓 지 않 잖아 언제 하 길 원하 으며 ? 당장 집 이에 가 서 네 와이프 에게 말 해 그건 안 돼 . 도대체 나 이혼 당해 그녀 정도 도 생각 못가 하 고 행동 했 니 ? 진짜 에드 칼 로 갈기갈기 뜯 어 죽여 버릴 것 야 나 도 가만 있 지 않 를 거 야 . 그렇게 말 이 안 위하 니 자꾸 연락 를 차단 하 는 것 아냐 네 가 엄청 나오 면 나 때문 이제 가만 있 꼼짝 않 겠 어,협박 대화
야 너 는 00 고등학교 배정 되 불쌍히 어쩌 냐 왜 00 고등학교 가 어 떄서 ? 거기 내신 석회석 잖 아 . 사우스캐롤라이 들 도 다 돌대가리 아니 면 일진 따름 이 라던데 나 ㄴ다는 상관없 어 어짜피 가르치 잘 하 니까 ... 가 상관없 어 토비 친구 들 도 으며 공부 못 하 ㄴ다는 애 들 이 기에 노 는 애 부유층 뿐 일 텐데 걔 네 랑 안 살 아 나 혼자 지낼 거 야 너 때문 걔 네 처럼 존나 구려 지 겠 꼼짝 ? 나 는 중학교 가 서 집 많이 살 고 공부 많이 하 는 친구 부유층 많이 사귈 건데 그래라 너 는 어쩌 뇰 인생 망했 네 금방 해,기타 괴롭힘 대화
야 손 병신 는데 하 . 한숨 숀 었 어 ? 야가 손 병신 . 엄청 부르 지 마 는데 뭐 ? 병신 에게 병신 이 라 이러 는데 . 그렇게 말로 하 지 말 이라고 . 야 병신 아서 . 너 손 그러 그래서 똥 은 언제 닦 냐 ? 이런 말 하 지 말로 라고 . 이 암컷 가 형 님 그러 말 하 는 데는 말대답 이 야 ... 아 때리 지 마가 . 으이구 병신 암컷 !,기타 괴롭힘 대화
너 내 가 돌아보 지 말 랬지 죄송 근데 본 거 어떠하 야 지금 쳐다보 기에 있 잖아 아니야 억지로 본 게 아니 야가 본 거 맞 카나 . 왜 거짓말 해의 ? 거짓말 은 나쁜 거 지 ? 는데 응 그럼 맞 아도 겠지 ? 미안 해의 잘못 했 어 ... 가 잘못 했 으며 ? 반성문 쓸 도록,기타 괴롭힘 대화
나이 가 몇 인데 내 가 이런 방법 까지 일러 줘야돼 ... 죄송 합니다 기본 의식적 인 것 도 장착 가 안 되 없 으면 어떡 해 ... 죄송 합니다 . 그녀 죄송 하 다는 울음소리 좀 듣 기 힘들 어 제대로 할 가능성 없 어 ? 아래 부터 제대로 해 살펴보 겠 습니다 그따위 로서 하 다간 다음 은데 없 을지 도 몰라 제대로 좀 해 그럼 ! 네 정말 의아 합니다 아주 가정 에서부터 교육 을 다시 넘겨받 아야 돼 문제 놀드 많 아 요새 늙 은 것 들 은데 . 죄송 합니다,직장 내 괴롭힘 대화
야 나 오늘 가방 을 안 가져왔 으며 5 만 원 만이 빌려 주 라 아서 . 지난 번 이에 도 빌려간 돈 여전히 안 주 셨잖아요 는데 내 가 급해서 그래 오늘 꺼 까지 영광송 바로 줄게 약속 때문 안 지키 시 으며 저 드리 기 힘들 어요 우리 사이 이에 왜 그래 아 는데 저 정말 힘들 는데요 이 번 한 번의 만 주 면 곧바로 는 달 라고 못가 할 게 정말 금방 하 세요 앞 으로서 너 안 괴롭힐 도록 이번 한 번 만이 주 라 이번 그러 마지막 이 에요 는데,갈취 대화
팀장 님 오늘 보직 이 시 죠 ... 그런데 ? 아 종업원 부모 님 상당 했 다고 문자 한 계천 전 직원 들 한테 부탁 드려도 될까요 ... 그런 건 서무 놀드 하 는 일 어떠하 니 ? 아 이렇 긴 한데 주말 그러 라 당직자 에게 간청 하 는 건데요 는데 나 는 문자 못하 보내 주 겠 으며 니 가 와서 해라 네 ? 못 부유층 었 니 ? 토비 가 와서 보내 이라고 . 주말 인데 용산구 까지 가 려면 분간 좀 걸리 는데 한두 번 만 보내 주기도 십시오 . 당직자 놀드 원래 해 주 ㄴ다는 일 도 맞 꼼짝 않 습니까 ? 아서 그건 모르 겠 기에 니 가 와서 보내주 든가 말 든가 해라 끊 어라,직장 내 괴롭힘 대화
